retailer,base_url,status_codes_seen,platforms,cdn_or_waf,protection_signals,product_signals,useful_paths,recommended_next_step
Bennys Boardroom,https://www.bennysboardroom.com.au,"[200, 403]","[""WooCommerce"", ""WordPress""]","[""Cloudflare""]","[""Blocking or challenge status 403"", ""Cloudflare challenge"", ""Geo restriction"", ""JavaScript required""]","[""Surfboard keyword content""]",[],"WooCommerce detected. Build scraper around Store API, product sitemap, or product schema."
Surf Dive n Ski,https://www.sds.com.au,"[200, 400, 404]","[""Custom or unknown ecommerce"", ""Salesforce Commerce Cloud"", ""Shopify"", ""WooCommerce"", ""WordPress""]","[""Cloudflare"", ""Cloudflare, Shopify Edge""]","[""Bot challenge"", ""Cloudflare challenge""]","[""JSON products array"", ""Product URL references"", ""Retail product content"", ""Surfboard keyword content"", ""XML sitemap""]","[""/collections/surfboards/products.json?limit=250"", ""/collections/all"", ""/products"", ""/shop"", ""/search?q=surfboard"", ""/search?type=product&q=surfboard"", ""/robots.txt"", ""/"", ""/sitemap.xml"", ""/products.json?limit=250""]",Likely structured product feed available. Build or fix feed scraper first.
Kirra Surf,https://www.kirrasurf.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Riders Lodge,https://www.riderslodge.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
City Beach,https://www.citybeach.com,"[200, 404]","[""Commerce Cloud"", ""Salesforce Commerce Cloud""]","[""Cloudflare, AWS CloudFront""]","[""Cloudflare challenge""]","[""Retail product content"", ""Surfboard keyword content""]","[""/search?type=product&q=surfboard"", ""/search?q=surfboard"", ""/""]","Protection or restriction detected. Use public sitemap, retailer feed, approved API, affiliate feed, or manual partnership path."
Trigger Bros,https://www.triggerbrothers.com.au,[403],[],"[""Cloudflare"", ""Cloudflare, PerimeterX""]","[""Blocking or challenge status 403"", ""Cloudflare challenge"", ""Geo restriction"", ""JavaScript required"", ""PerimeterX challenge""]","[""Surfboard keyword content""]",[],"Protection or restriction detected. Use public sitemap, retailer feed, approved API, affiliate feed, or manual partnership path."
SDS Surf,https://www.sds.com.au,[200],"[""Salesforce Commerce Cloud"", ""Shopify""]","[""Cloudflare"", ""Cloudflare, Shopify Edge""]","[""Bot challenge"", ""Cloudflare challenge""]","[""Product URL references"", ""Retail product content"", ""XML sitemap""]","[""/"", ""/robots.txt"", ""/sitemap.xml""]","Shopify detected, but common feeds may be blocked or unavailable. Test collection handles and sitemap product URLs."
Momentum Surf,https://www.momentumsurf.com.au,[],[],[],[],[],[],No reliable product path found. Needs manual inspection.
Ocean and Earth,https://www.oceanearthstore.com,"[200, 404]","[""Shopify"", ""WooCommerce"", ""WordPress""]","[""Cloudflare"", ""Cloudflare, Shopify Edge""]","[""Bot challenge"", ""Cloudflare challenge""]","[""Product URL references"", ""Retail product content"", ""Surfboard keyword content"", ""XML sitemap""]","[""/robots.txt"", ""/"", ""/sitemap.xml"", ""/sitemap_products_1.xml"", ""/products.json?limit=250"", ""/collections/all/products.json?limit=250"", ""/products"", ""/shop"", ""/collections/all""]","Shopify detected, but common feeds may be blocked or unavailable. Test collection handles and sitemap product URLs."
Onboard Store,https://www.onboardstore.com.au,[200],"[""Custom or unknown ecommerce"", ""Shopify""]","[""Cloudflare, Shopify Edge""]","[""Cloudflare challenge""]","[""Product URL references"", ""Retail product content"", ""Surfboard keyword content""]","[""/"", ""/search?q=surfboard""]","Shopify detected, but common feeds may be blocked or unavailable. Test collection handles and sitemap product URLs."
